player_id,player_name,player_link
caffeja01,Jason Caffey,/players/c/caffeja01.html
calatni01,Nick Calathes,/players/c/calatni01.html
caldejo01,Jose Calderon,/players/c/caldejo01.html
caldwke01,Kentavious Caldwell-Pope,/players/c/caldwke01.html
cambyma01,Marcus Camby,/players/c/cambyma01.html
campbel01,Elden Campbell,/players/c/campbel01.html
canaais01,Isaiah Canaan,/players/c/canaais01.html
capelca01,Clint Capela,/players/c/capelca01.html
caracde01,Derrick Caracter,/players/c/caracde01.html
cardibr01,Brian Cardinal,/players/c/cardibr01.html
carlige01,Geno Carlisle,/players/c/carlige01.html
carnero01,Rodney Carney,/players/c/carnero01.html
carrch01,Chris Carr,/players/c/carrch01.html
carrode01,DeMarre Carroll,/players/c/carrode01.html
carroma01,Matt Carroll,/players/c/carroma01.html
cartean01,Anthony Carter,/players/c/cartean01.html
cartema01,Maurice Carter,/players/c/cartema01.html
cartevi01,Vince Carter,/players/c/cartevi01.html
cartemi01,Michael Carter-Williams,/players/c/cartemi01.html
carusal01,Alex Caruso,/players/c/carusal01.html
cassesa01,Sam Cassell,/players/c/cassesa01.html
casspom01,Omri Casspi,/players/c/casspom01.html
catoke01,Kelvin Cato,/players/c/catoke01.html
caulewi01,Willie Cauley-Stein,/players/c/caulewi01.html
causwdu01,Duane Causwell,/players/c/causwdu01.html
cavanty01,Tyler Cavanaugh,/players/c/cavanty01.html
cebalce01,Cedric Ceballos,/players/c/cebalce01.html
chalmli01,Lionel Chalmers,/players/c/chalmli01.html
chalmma01,Mario Chalmers,/players/c/chalmma01.html
chandty01,Tyson Chandler,/players/c/chandty01.html
chandwi01,Wilson Chandler,/players/c/chandwi01.html
cheanca01,Calbert Cheaney,/players/c/cheanca01.html
cherrwi01,Will Cherry,/players/c/cherrwi01.html
childjo01,Josh Childress,/players/c/childjo01.html
childch01,Chris Childs,/players/c/childch01.html
chrisma01,Marquese Chriss,/players/c/chrisma01.html
chrisdo01,Doug Christie,/players/c/chrisdo01.html
chrisdi01,Dionte Christmas,/players/c/chrisdi01.html
chrisra01,Rakeem Christmas,/players/c/chrisra01.html
chrisse01,Semaj Christon,/players/c/chrisse01.html
chrispa01,Patrick Christopher,/players/c/chrispa01.html
clarkea01,Earl Clark,/players/c/clarkea01.html
clarkia01,Ian Clark,/players/c/clarkia01.html
clarkke01,Keon Clark,/players/c/clarkke01.html
clarkco01,Coty Clarke,/players/c/clarkco01.html
clarkjo01,Jordan Clarkson,/players/c/clarkjo01.html
clavegi01,Gian Clavell,/players/c/clavegi01.html
clavevi01,Victor Claver,/players/c/clavevi01.html
claxtsp01,Speedy Claxton,/players/c/claxtsp01.html
cleavma01,Mateen Cleaves,/players/c/cleavma01.html
clevean01,Antonius Cleveland,/players/c/clevean01.html
cokerjo01,John Coker,/players/c/cokerjo01.html
coleno01,Norris Cole,/players/c/coleno01.html
colemde01,Derrick Coleman,/players/c/colemde01.html
colesbi01,Bimbo Coles,/players/c/colesbi01.html
collija02,Jason Collier,/players/c/collija02.html
collija03,Jarron Collins,/players/c/collija03.html
collija04,Jason Collins,/players/c/collija04.html
collijo01,John Collins,/players/c/collijo01.html
collima01,Mardy Collins,/players/c/collima01.html
collish01,Sherron Collins,/players/c/collish01.html
colliza01,Zach Collins,/players/c/colliza01.html
colliky01,Kyle Collinsworth,/players/c/colliky01.html
collida01,Darren Collison,/players/c/collida01.html
collini01,Nick Collison,/players/c/collini01.html
colsose01,Sean Colson,/players/c/colsose01.html
conlemi01,Mike Conley,/players/c/conlemi01.html
connapa01,Pat Connaughton,/players/c/connapa01.html
conrowi01,Will Conroy,/players/c/conrowi01.html
cookbr01,Brian Cook,/players/c/cookbr01.html
